Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
0,1,1,0,19,7,9,6,12.933333333333332,7,7,6,13.716666666666669,Enrolled
0,1,1,0,21,6,15,5,11.857142857142858,6,17,5,10.571428571428571,Enrolled
0,1,1,0,20,6,7,6,12.833333333333334,6,9,4,13.4,Graduate
0,0,1,0,18,5,9,3,11.333333333333334,5,8,2,13.5,Enrolled
0,1,0,0,19,6,6,6,12.666666666666666,6,8,6,14.375,Graduate
0,1,1,0,34,5,6,5,12.4,5,9,5,13.428571428571429,Graduate
1,0,1,0,37,7,7,0,0.0,7,7,1,10.0,Dropout
0,1,1,0,43,5,0,0,0.0,5,0,0,0.0,Dropout
0,1,0,0,55,5,10,1,10.0,5,8,2,12.0,Dropout
0,1,0,0,39,5,8,5,11.0,5,5,5,11.6,Graduate
1,0,0,0,20,6,13,3,11.666666666666666,6,11,3,12.0,Dropout
1,1,0,0,18,6,6,4,12.75,5,5,0,0.0,Dropout
0,1,0,0,22,5,5,5,14.8,5,5,5,15.8,Graduate
0,1,0,0,22,7,9,5,13.928,8,9,7,14.342857142857142,Graduate
0,0,0,0,20,6,7,4,13.0,6,7,5,13.8,Dropout
0,1,0,0,29,5,0,0,0.0,5,0,0,0.0,Dropout
0,1,0,0,24,5,9,2,11.5,5,11,3,14.333333333333334,Enrolled
0,1,0,0,18,6,6,6,11.666666666666666,6,8,5,13.2,Graduate
0,1,0,1,22,7,8,6,13.516666666666666,8,9,7,13.771428571428572,Graduate
0,1,0,1,21,6,6,6,11.5,6,7,6,13.285714285714286,Graduate
0,1,0,1,19,6,7,5,12.333333333333334,6,7,6,12.833333333333334,Graduate
0,1,0,1,24,6,6,6,13.666666666666666,6,6,6,14.166666666666666,Graduate
0,1,0,1,19,8,10,6,11.833333333333334,8,10,6,11.833333333333334,Enrolled
0,1,0,1,20,6,11,4,14.0,6,12,3,11.0,Enrolled
0,1,0,0,19,5,7,5,14.714285714285714,5,5,5,15.8,Graduate
0,1,0,0,27,5,12,5,10.6,5,10,5,11.0,Dropout
0,1,0,0,18,7,9,7,13.044444444444444,8,10,8,13.595,Graduate
0,1,0,0,39,6,10,0,0.0,6,6,0,0.0,Dropout
0,1,0,0,27,6,9,5,13.0,11,13,10,12.9,Dropout
0,1,0,0,18,8,8,8,14.935,8,8,8,14.935,Graduate
0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,Enrolled
0,1,0,0,18,7,8,6,13.133333333333333,8,12,7,12.221428571428572,Graduate
0,1,0,1,21,6,7,6,12.0,6,7,6,12.0,Graduate
0,1,1,1,19,0,0,0,0.0,0,0,0,0.0,Enrolled
0,1,1,0,19,6,6,5,11.4,6,8,1,10.0,Enrolled
0,1,1,0,24,6,6,0,0.0,6,6,0,0.0,Enrolled
0,1,1,0,29,7,10,5,11.9,8,10,5,11.0,Dropout
0,1,1,1,19,0,0,0,0.0,0,0,0,0.0,Graduate
0,1,1,0,23,6,8,6,12.571428571428571,6,7,6,12.428571428571429,Graduate
1,1,1,0,19,5,8,5,11.2,5,10,4,10.75,Dropout
0,1,1,0,26,6,7,6,12.0,6,8,5,10.8,Enrolled
0,1,1,0,18,5,9,0,0.0,5,5,0,0.0,Enrolled
0,1,1,0,24,7,8,7,11.975,8,8,8,13.75,Graduate
0,1,1,0,19,0,0,0,0.0,0,0,0,0.0,Dropout
0,1,1,0,18,6,12,3,11.666666666666666,6,12,1,12.0,Dropout
0,1,1,0,18,6,8,6,12.333333333333334,6,11,3,12.333333333333334,Graduate
1,1,1,0,18,5,8,3,10.333333333333334,5,11,3,10.857142857142858,Dropout
0,1,1,1,21,6,8,4,10.5,6,11,1,11.0,Dropout
1,1,1,1,19,6,6,6,13.666666666666666,6,6,6,13.333333333333334,Graduate
0,1,1,1,22,7,7,7,14.842857142857142,8,9,8,15.055555555555555,Graduate
0,1,1,0,33,6,8,6,12.0,6,6,6,11.666666666666666,Graduate
0,1,1,0,20,6,8,5,12.2,6,7,5,12.2,Dropout
0,1,1,0,35,1,1,0,0.0,5,0,0,0.0,Dropout
1,1,1,0,24,12,17,6,12.166666666666666,12,14,10,13.3,Dropout
0,1,1,0,18,5,6,5,12.0,5,8,3,11.333333333333334,Enrolled
0,1,0,0,33,6,7,6,11.0,6,11,5,11.0,Graduate
0,1,0,1,22,8,8,7,13.08,8,8,7,13.08,Graduate
0,1,0,1,25,5,7,4,10.5,5,7,5,11.6,Graduate
0,1,1,0,20,6,9,6,10.666666666666666,6,6,5,11.2,Graduate
0,1,1,0,23,5,6,4,14.0,5,5,5,13.8,Enrolled
1,1,1,0,18,5,9,2,10.0,5,9,0,0.0,Enrolled
0,1,1,0,24,7,18,0,0.0,7,7,0,0.0,Dropout
0,0,0,0,21,6,6,6,14.0,6,6,6,13.5,Graduate
0,1,0,0,26,6,7,2,12.0,6,6,0,0.0,Dropout
0,1,0,0,39,6,12,3,12.666666666666666,6,14,0,0.0,Dropout
0,1,0,0,44,8,11,8,11.875,6,7,6,12.333333333333334,Graduate
0,1,1,0,19,5,9,5,14.0,5,11,3,13.25,Enrolled
0,1,0,0,18,6,6,6,13.666666666666666,6,6,6,13.333333333333334,Graduate
0,1,0,1,18,7,7,7,13.75,8,9,8,14.47777777777778,Graduate
0,1,0,0,19,5,7,5,14.2,5,7,5,13.8,Enrolled
1,0,0,0,19,7,10,4,11.96,7,7,0,0.0,Dropout
0,1,0,0,21,10,12,8,12.875,9,14,5,13.4,Dropout
0,1,0,0,20,0,0,0,0.0,0,0,0,0.0,Graduate
0,1,0,0,36,6,0,0,0.0,6,0,0,0.0,Dropout
0,1,0,0,43,18,19,18,14.63157894736842,13,14,13,14.23076923076923,Graduate
0,1,0,0,19,6,0,0,0.0,6,0,0,0.0,Dropout
1,1,0,0,20,10,12,10,13.0,11,11,11,12.272727272727272,Graduate
0,1,0,0,19,6,0,0,0.0,6,0,0,0.0,Dropout
0,1,0,0,20,6,15,4,14.2,6,17,4,13.25,Dropout
0,1,0,0,20,7,9,6,13.266666666666666,7,10,5,12.3,Dropout
0,1,0,0,20,7,12,6,11.666666666666666,7,10,3,13.0,Enrolled
0,1,0,0,18,6,8,6,13.857142857142858,6,6,6,15.0,Graduate
0,1,0,1,18,5,9,3,13.0,5,11,3,11.0,Enrolled
0,1,0,0,19,5,6,5,13.4,5,5,5,12.8,Graduate
0,1,0,0,18,6,6,6,12.666666666666666,6,7,6,12.571428571428571,Graduate
0,1,0,0,18,7,7,6,12.516666666666666,7,7,6,12.516666666666666,Dropout
0,1,0,0,20,7,11,6,11.616666666666667,7,7,7,13.0,Enrolled
0,1,0,1,20,6,13,2,10.0,6,12,4,10.75,Enrolled
0,1,0,0,20,5,11,3,10.333333333333334,5,10,3,10.666666666666666,Enrolled
0,1,0,0,18,5,12,5,13.142857142857142,5,6,5,11.4,Graduate
0,1,0,0,18,5,5,5,12.6,5,5,5,14.0,Graduate
0,1,0,0,21,6,12,3,11.0,6,12,2,11.0,Dropout
0,1,0,0,19,5,8,5,10.8,5,9,4,11.25,Graduate
0,1,0,0,19,0,0,0,0.0,0,0,0,0.0,Dropout
0,1,0,1,19,5,5,5,12.8,5,5,5,14.2,Graduate
0,1,0,0,19,6,15,6,14.166666666666666,6,13,6,12.2,Graduate
0,1,0,0,19,7,12,5,12.1,7,0,0,0.0,Dropout
0,1,0,0,20,6,7,6,14.166666666666666,6,17,5,13.77777777777778,Graduate
0,1,0,1,18,6,8,5,12.8,6,7,5,13.4,Enrolled
0,1,0,0,18,6,7,6,13.0,6,6,6,13.666666666666666,Graduate
0,1,0,0,19,7,7,7,13.467142857142855,8,9,8,15.011111111111113,Graduate
0,1,0,1,18,7,9,7,13.2375,8,9,7,13.742857142857144,Dropout
0,1,0,0,18,6,6,6,12.333333333333334,6,6,6,13.0,Graduate
0,1,0,0,19,5,7,5,12.4,5,5,5,14.6,Graduate
0,1,0,0,19,7,8,5,14.0,7,7,0,0.0,Dropout
0,1,0,0,20,9,15,9,11.666666666666666,7,8,7,11.714285714285714,Graduate
1,0,0,1,19,6,7,5,12.0,6,9,4,12.5,Dropout
0,1,0,0,20,5,7,4,12.2,5,5,4,11.5,Graduate
1,1,0,1,18,6,6,6,14.833333333333334,6,6,6,14.833333333333334,Graduate
0,1,0,1,20,7,9,5,13.188,8,9,7,12.892857142857142,Enrolled
0,1,0,0,18,7,8,7,17.125,8,8,8,17.5875,Graduate
0,1,0,0,19,7,7,6,12.666666666666666,7,7,6,12.666666666666666,Graduate
0,1,0,1,19,6,8,6,12.666666666666666,6,10,5,12.0,Graduate
1,0,0,0,22,5,8,0,0.0,5,7,0,0.0,Enrolled
0,1,0,1,19,6,7,6,11.333333333333334,6,6,6,11.5,Graduate
0,1,0,1,19,7,10,7,13.605,8,11,8,12.33125,Graduate
0,1,0,1,19,6,10,5,12.0,6,9,5,10.8,Graduate
0,1,0,0,19,5,10,0,0.0,5,10,0,0.0,Dropout
0,1,0,0,20,6,8,5,11.2,6,12,3,11.666666666666666,Dropout
0,1,0,0,18,5,10,5,13.375,5,9,5,14.166666666666666,Graduate
0,1,0,1,20,7,8,6,13.863333333333337,8,9,7,14.178571428571429,Graduate
0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,Enrolled
0,1,0,0,19,5,6,5,12.4,5,6,5,13.4,Graduate
0,1,0,0,18,6,11,3,12.333333333333334,6,10,5,10.833333333333334,Enrolled
0,1,0,0,18,6,7,6,13.333333333333334,6,8,5,11.8,Graduate
0,1,0,0,21,6,10,3,12.666666666666666,6,12,3,10.0,Dropout
0,1,0,0,19,6,8,6,12.0,6,10,4,11.5,Dropout
0,1,0,1,18,5,5,5,10.6,5,5,5,11.8,Graduate
0,1,0,1,18,6,8,6,12.25,6,7,6,11.857142857142858,Graduate
0,1,0,0,20,6,10,4,11.0,6,9,6,11.833333333333334,Graduate
0,1,0,1,24,6,11,5,11.0,6,9,5,12.6,Graduate
0,1,0,0,19,6,6,6,13.166666666666666,6,9,6,13.0,Dropout
0,1,0,1,18,7,9,7,12.855555555555554,8,12,7,12.761111111111113,Graduate
0,1,0,0,18,7,8,7,14.91875,8,8,8,15.355,Graduate
0,1,0,0,21,6,13,4,11.5,6,10,3,11.0,Dropout
0,1,0,0,19,5,5,5,14.2,5,5,5,14.2,Graduate
0,1,0,1,19,6,6,6,12.5,6,7,6,13.0,Graduate
1,1,0,0,47,1,1,0,0.0,6,0,0,0.0,Enrolled
0,1,0,0,19,6,10,5,11.666666666666666,6,12,4,11.0,Graduate
0,1,0,0,29,8,8,7,14.257142857142856,8,8,7,14.257142857142856,Graduate
0,1,0,0,21,6,13,3,12.0,6,12,2,11.333333333333334,Dropout
0,1,0,0,28,5,13,4,11.25,5,11,4,10.5,Enrolled
0,1,0,0,20,7,8,7,12.457142857142856,8,8,8,13.5625,Graduate
0,1,0,0,19,7,7,6,11.683333333333332,7,7,6,11.683333333333332,Graduate
0,1,0,0,26,6,10,3,11.666666666666666,6,8,5,12.0,Graduate
1,0,0,0,20,6,8,4,11.75,6,6,6,13.166666666666666,Dropout
0,1,0,1,18,5,6,3,11.666666666666666,5,6,4,13.5,Enrolled
0,1,0,0,27,6,9,5,13.2,6,10,5,12.0,Graduate
0,1,0,0,20,7,8,4,11.95,7,8,4,11.95,Dropout
0,1,0,0,18,6,8,5,12.4,6,12,5,10.4,Dropout
0,1,0,0,33,7,8,6,14.35,8,10,6,14.583333333333334,Dropout
0,1,0,0,35,21,21,21,12.61904761904762,19,19,19,12.789473684210526,Graduate
0,1,0,1,26,6,7,6,12.666666666666666,6,7,6,13.166666666666666,Enrolled
1,0,0,0,27,6,6,5,12.0,6,6,0,0.0,Dropout
0,0,0,0,19,6,6,6,12.166666666666666,6,6,0,0.0,Dropout
0,1,0,0,20,6,0,0,0.0,6,0,0,0.0,Dropout
1,0,0,0,20,5,9,3,10.0,5,9,3,10.571428571428571,Dropout
1,0,0,0,21,10,18,8,11.5,6,12,4,10.0,Enrolled
0,1,0,1,18,7,7,6,13.05,7,7,6,13.05,Graduate
0,1,0,0,24,6,10,2,11.0,6,6,0,0.0,Dropout
0,1,0,0,20,6,7,6,11.5,6,6,6,12.0,Graduate
0,1,0,1,21,6,7,6,12.0,6,6,6,12.5,Graduate
0,1,0,0,23,6,13,2,10.0,5,12,1,10.0,Enrolled
0,1,0,0,24,5,5,0,0.0,5,5,0,0.0,Dropout
0,1,0,0,21,6,0,0,0.0,6,0,0,0.0,Dropout
0,1,0,0,18,8,8,7,12.242857142857144,8,8,7,12.242857142857144,Graduate
0,1,0,0,27,5,0,0,0.0,5,0,0,0.0,Dropout
0,1,0,0,18,8,8,8,12.93375,8,8,8,12.93375,Graduate
0,1,0,0,35,5,0,0,0.0,5,0,0,0.0,Dropout
0,1,0,0,18,7,9,7,12.571428571428571,7,8,7,14.428571428571429,Graduate
0,1,0,0,35,3,4,3,11.816666666666668,3,3,3,11.333333333333334,Enrolled
0,1,0,0,19,5,9,4,13.75,5,13,4,14.333333333333334,Graduate
0,1,0,0,20,6,8,6,11.166666666666666,6,6,6,11.333333333333334,Graduate
0,1,0,0,18,8,8,7,12.324285714285711,8,8,7,12.324285714285711,Graduate
1,1,0,0,21,6,6,6,12.166666666666666,6,7,6,11.714285714285714,Graduate
0,1,0,1,18,6,11,5,11.142857142857142,6,11,4,11.25,Graduate
0,1,0,0,18,6,9,4,11.0,6,9,4,10.75,Graduate
0,1,0,0,18,8,8,7,12.914285714285713,8,8,7,12.914285714285713,Graduate
0,1,0,1,18,6,6,6,13.833333333333334,6,6,6,14.166666666666666,Graduate
0,1,0,0,19,6,8,6,13.857142857142858,6,9,5,13.4,Graduate
0,1,0,1,36,6,7,6,13.714285714285714,6,6,5,12.8,Dropout
0,1,0,1,18,8,8,7,12.642857142857142,8,8,7,12.642857142857142,Graduate
0,1,0,1,18,7,7,6,12.916666666666666,7,7,6,12.916666666666666,Graduate
0,1,0,1,20,6,8,6,15.625,6,8,6,15.857142857142858,Graduate
0,1,0,1,26,5,7,0,0.0,5,8,0,0.0,Dropout
0,1,0,0,21,6,8,6,11.714285714285714,6,7,6,12.0,Graduate
0,1,0,0,25,7,10,6,12.125,8,9,8,13.3125,Enrolled
0,1,0,1,19,5,7,5,11.6,5,5,5,11.6,Graduate
0,1,0,0,24,6,11,1,10.0,6,6,0,0.0,Dropout
0,1,0,1,27,6,16,1,10.0,6,13,0,0.0,Dropout
0,1,0,0,21,5,10,0,0.0,5,9,2,13.5,Dropout
0,1,0,1,18,5,7,4,13.0,5,8,3,12.333333333333334,Graduate
0,1,0,1,19,6,6,6,13.333333333333334,6,6,6,14.5,Graduate
0,1,0,0,18,6,9,4,11.25,6,13,2,12.5,Dropout
0,1,0,1,19,7,9,5,13.85,8,9,7,12.19285714285714,Graduate
0,1,0,1,19,7,8,6,13.741666666666667,8,9,7,14.9125,Graduate
0,1,0,0,33,6,7,6,15.333333333333334,5,5,5,15.8,Graduate
0,1,0,0,45,5,6,5,11.0,5,5,5,13.8,Graduate
0,1,0,1,20,6,6,6,12.0,6,7,6,12.857142857142858,Graduate
0,1,0,0,28,5,5,0,0.0,5,5,0,0.0,Dropout
0,1,0,1,19,8,15,7,11.571428571428571,8,15,7,11.571428571428571,Graduate
0,1,0,0,18,6,10,6,12.857142857142858,6,6,3,12.666666666666666,Graduate
0,1,0,0,38,6,0,0,0.0,6,0,0,0.0,Dropout
0,1,0,0,19,5,5,5,13.0,5,5,5,13.2,Graduate
0,1,0,1,21,6,9,5,11.0,6,8,5,12.0,Graduate
0,1,0,0,21,5,12,3,12.0,5,12,1,15.0,Dropout
0,1,0,1,22,6,6,5,12.6,6,6,6,13.0,Graduate
0,1,0,1,18,6,8,5,13.4,6,7,6,13.166666666666666,Graduate
0,1,0,1,18,6,9,6,11.333333333333334,6,9,6,11.571428571428571,Graduate
0,0,0,0,25,5,14,4,13.5,5,10,4,14.25,Dropout
1,0,0,0,24,6,11,3,11.75,6,14,3,10.333333333333334,Dropout
0,1,0,0,19,7,10,6,12.471428571428572,7,8,7,11.4625,Enrolled
0,1,0,0,24,17,19,11,12.909090909090908,13,15,9,13.555555555555555,Enrolled
0,1,0,1,20,5,5,5,11.6,5,5,5,13.6,Graduate
0,0,0,0,25,5,5,0,0.0,5,9,0,0.0,Dropout
0,1,0,1,20,10,13,9,12.9,10,12,10,12.363636363636363,Graduate
0,1,0,0,23,8,8,8,13.22,8,8,8,13.22,Graduate
0,1,0,1,19,8,8,7,13.151428571428571,8,8,7,13.151428571428571,Graduate
1,0,0,0,29,6,13,3,12.75,6,8,3,11.333333333333334,Dropout
0,1,0,0,21,6,8,6,11.333333333333334,6,8,4,12.25,Graduate
0,1,0,1,18,6,10,6,13.25,6,13,5,14.142857142857142,Graduate
0,1,0,0,19,6,7,5,12.4,6,6,5,12.4,Enrolled
0,1,0,1,18,6,6,6,15.0,6,6,6,12.833333333333334,Dropout
0,1,0,0,19,5,6,5,14.4,5,6,5,13.0,Graduate
0,1,0,0,18,6,12,1,11.0,6,12,0,0.0,Enrolled
0,1,0,0,18,5,8,5,12.4,5,6,5,10.8,Graduate
1,0,0,1,37,7,13,1,16.0,7,12,0,0.0,Dropout
0,1,0,0,29,5,10,5,13.571428571428571,5,14,5,12.333333333333334,Graduate
0,1,0,0,18,6,6,6,11.833333333333334,6,6,6,12.5,Enrolled
0,1,0,1,19,6,8,5,11.666666666666666,6,9,5,12.666666666666666,Graduate
1,0,0,0,22,10,16,6,11.833333333333334,7,8,2,13.0,Dropout
0,1,0,1,20,6,8,6,11.166666666666666,6,10,5,10.6,Graduate
0,1,0,0,34,6,0,0,0.0,6,0,0,0.0,Dropout
1,0,0,0,30,12,17,8,11.75,12,19,6,12.166666666666666,Dropout
0,1,0,0,18,6,7,6,14.0,6,7,6,14.0,Graduate
0,1,0,0,18,6,6,6,12.833333333333334,6,6,6,12.0,Graduate
0,1,0,0,18,6,11,4,12.25,6,10,3,11.666666666666666,Graduate
0,1,0,0,18,8,8,7,14.828571428571427,8,8,7,14.828571428571427,Graduate
0,1,0,1,19,6,7,5,11.4,6,8,5,12.8,Graduate
0,1,0,1,19,6,6,6,13.0,6,8,6,12.5,Graduate
0,1,0,1,18,8,8,7,13.671428571428573,8,8,7,13.671428571428573,Graduate
0,1,0,1,21,6,9,6,12.666666666666666,6,8,5,12.8,Graduate
0,0,0,0,20,5,10,2,10.0,5,12,1,13.0,Dropout
0,1,0,0,20,5,10,5,13.5,5,8,5,12.333333333333334,Graduate
0,1,0,0,19,7,8,7,12.67,8,8,8,13.55,Graduate
0,1,0,0,20,6,8,6,14.5,6,7,6,15.428571428571429,Graduate
0,1,0,0,18,7,7,7,13.685714285714283,8,8,8,15.3875,Graduate
0,1,0,0,20,6,8,5,11.0,6,10,3,10.666666666666666,Dropout
1,0,0,0,29,9,16,7,11.555555555555555,7,12,5,13.2,Dropout
0,1,0,1,18,7,7,7,13.79714285714286,8,8,8,13.775,Enrolled
0,1,0,1,20,7,8,7,14.00375,8,11,7,13.812857142857142,Graduate
0,1,0,1,22,5,8,4,12.0,5,8,4,11.4,Graduate
0,1,0,1,47,6,9,5,14.166666666666666,6,7,6,14.166666666666666,Graduate
0,1,0,0,31,5,5,5,14.0,5,5,5,13.8,Graduate
0,1,0,1,21,6,7,5,13.8,6,6,6,12.833333333333334,Graduate
0,1,0,0,21,6,8,5,12.8,6,10,6,11.857142857142858,Graduate
0,1,0,0,24,6,6,6,12.166666666666666,6,6,6,13.833333333333334,Graduate
0,1,0,0,18,6,8,6,12.5,6,6,6,12.333333333333334,Enrolled
0,1,0,0,32,6,9,4,12.0,6,12,4,11.5,Graduate
0,1,0,1,19,6,8,6,10.833333333333334,6,9,6,11.5,Graduate
0,1,0,0,24,8,8,8,13.385,8,8,8,13.385,Graduate
0,1,0,0,19,6,14,6,15.666666666666666,6,9,6,14.5,Graduate
1,1,0,1,19,6,9,6,14.333333333333334,6,7,6,13.833333333333334,Graduate
0,1,0,0,24,6,10,6,11.428571428571429,6,12,5,13.0,Enrolled
0,1,0,1,18,6,9,6,11.666666666666666,6,8,6,11.666666666666666,Graduate
0,1,0,1,19,6,9,5,12.0,6,10,2,11.333333333333334,Dropout
0,1,0,1,19,8,8,7,14.725714285714288,8,8,7,14.725714285714288,Graduate
0,1,0,1,18,6,6,6,14.166666666666666,6,6,6,13.666666666666666,Graduate
0,1,0,0,18,6,10,6,11.571428571428571,6,8,6,12.333333333333334,Graduate
0,1,0,0,20,7,7,7,12.5,8,8,8,13.1375,Graduate
0,1,0,0,18,8,10,8,12.86,8,10,8,12.86,Graduate
0,1,0,0,18,6,10,6,12.25,6,9,6,13.714285714285714,Graduate
0,1,0,1,21,5,7,4,12.0,5,5,5,12.2,Graduate
0,1,0,1,18,7,9,7,15.116666666666667,8,9,8,16.168888888888887,Graduate
1,0,0,0,18,5,6,2,12.5,5,6,4,10.25,Dropout
0,1,0,0,19,6,11,0,0.0,6,0,0,0.0,Dropout
0,1,0,0,19,6,8,4,11.0,6,9,4,11.0,Enrolled
0,1,0,0,18,6,8,6,11.875,6,11,4,14.6,Graduate
0,1,0,0,34,5,6,1,11.0,5,5,0,0.0,Dropout
0,1,0,0,19,5,5,5,15.2,5,6,5,13.2,Graduate
1,0,0,0,19,6,7,5,11.6,6,12,2,11.0,Dropout
1,1,0,0,26,6,6,6,14.833333333333334,6,7,6,15.142857142857142,Graduate
0,1,0,0,21,6,12,3,11.333333333333334,6,10,3,11.333333333333334,Dropout
0,1,0,1,18,5,5,5,11.2,5,5,5,11.8,Graduate
0,1,0,1,20,6,8,5,13.4,6,9,5,13.666666666666666,Graduate
0,1,0,0,25,5,12,2,10.5,5,5,0,0.0,Dropout
0,1,0,0,18,5,5,5,16.2,5,5,5,16.4,Graduate
0,1,0,1,18,7,7,7,14.542857142857144,8,11,8,14.88181818181818,Graduate
0,1,0,0,19,7,7,7,13.694285714285714,8,9,8,14.355555555555554,Graduate
0,1,0,1,18,6,8,6,11.285714285714286,6,10,6,11.857142857142858,Graduate
0,1,0,0,20,7,11,6,11.757142857142856,8,12,6,13.083333333333334,Enrolled
1,0,0,0,26,3,3,0,0.0,6,0,0,0.0,Dropout
0,1,0,1,19,8,8,7,13.058571428571428,8,8,7,13.058571428571428,Graduate
0,1,0,0,19,7,7,7,14.3,8,9,8,14.055555555555555,Graduate
0,1,0,0,19,10,15,5,11.8,10,14,8,12.0,Graduate
0,1,0,0,19,5,9,3,10.333333333333334,5,8,3,13.0,Enrolled
0,1,0,0,18,6,7,6,10.571428571428571,6,11,3,11.666666666666666,Graduate
0,1,0,0,19,7,7,6,13.333333333333334,7,7,6,13.333333333333334,Graduate
1,1,0,0,18,6,10,6,11.857142857142858,6,9,5,11.0,Graduate
0,1,0,0,18,6,9,5,12.6,6,8,5,11.4,Enrolled
0,1,0,0,18,5,11,5,14.0,5,7,5,11.6,Enrolled
0,1,0,0,18,7,12,5,12.0,7,9,6,12.666666666666666,Enrolled
1,1,0,0,26,5,6,0,0.0,5,5,0,0.0,Dropout
0,1,0,0,20,6,7,6,12.0,6,7,6,13.0,Graduate
0,1,0,0,19,6,6,6,12.666666666666666,6,6,6,11.666666666666666,Graduate
0,1,0,1,18,6,6,6,12.166666666666666,6,9,6,13.666666666666666,Graduate
0,1,0,0,19,6,6,6,13.333333333333334,6,6,6,14.666666666666666,Graduate
1,1,0,0,40,7,8,7,15.0,7,7,7,14.571428571428571,Graduate
0,1,0,1,18,8,8,8,13.39125,8,8,8,13.39125,Graduate
0,1,0,0,19,6,9,5,12.166666666666666,6,8,6,12.428571428571429,Graduate
0,1,0,0,18,5,9,4,11.25,5,6,4,12.5,Graduate
0,1,0,0,19,5,13,4,12.0,5,8,3,12.0,Enrolled
0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,Dropout
0,1,0,0,33,6,7,6,12.833333333333334,6,8,6,12.857142857142858,Graduate
0,1,0,0,35,6,10,6,14.0,6,11,6,13.1,Graduate
0,1,0,0,26,5,5,4,13.0,5,7,2,12.0,Enrolled
0,1,0,0,18,6,7,6,13.5,6,8,6,12.5,Graduate
0,1,0,0,36,16,24,13,10.692307692307692,13,19,9,12.307692307692308,Enrolled
0,1,0,0,39,5,6,5,11.0,5,9,5,11.666666666666666,Graduate
0,1,0,0,44,6,8,6,13.0,6,6,6,13.833333333333334,Graduate
0,1,0,0,20,6,10,5,12.0,6,9,4,11.25,Enrolled
0,1,0,0,24,6,9,4,12.6,6,6,4,11.5,Dropout
0,1,0,1,20,6,6,6,13.666666666666666,6,6,6,13.333333333333334,Graduate
0,0,0,0,19,0,0,0,0.0,0,0,0,0.0,Dropout
1,1,0,1,18,7,7,6,14.2,7,7,6,14.2,Graduate
1,0,0,0,22,6,10,5,11.0,6,12,0,0.0,Dropout
0,1,0,0,18,6,7,6,15.0,6,7,6,16.428571428571427,Graduate
0,1,0,0,24,7,9,6,12.585714285714284,8,9,7,13.44285714285714,Graduate
